"Rank","Value Rating","Model","Price (MSRP)","Signature","Comments","Tone Grade","Technical Grade"
"B-","","Sony XBA-Z5","700",""Balanced"","All-rounder. Somewhat neutral both in FR and tonality.","B-","B"
"B-","","PEARS SH2","860","Neutral","An odd take on neutrality but not the worst.","B-","B"
"B-","","Fidue A91 ""Sirius""","900","Warm V-shape","Uniquely tuned hybrid. Not very powerful DD bass with Diffuse-Field midrange.","B-","B"
"B-","","Unique Melody Miracle V2","1050","Mild V-shape","Slight downsloping signature with a treble spike for sparkle.","B-","B"
"B-","","Soranik Ion","1100","Warm","Clearly inspired by the 334, follows the same strengths in female vocals","B-","B"
"B-","","Noble Tux 5","1300","U-shaped","Deep, sub-bass focus with potentially sibilant treble. Scooped midrange.","B-","B"
"B-","","Sony XBA-H3","Discont.","Warm neutral","Coherent hybrid with a warm-ish tilt to its tone. Similar to the XBA-A3.","B-","B"
"B-","★","qdc Neptune","200","Warm neutral","Tuning and configuration is simple but goes a long way when implemented well.","B","B-"
"B-","★","Apple AirPods Pro","250","Neutral","Somewhat Diffuse-Field tuning with a smooth and natural midrange tonality.","B","B-"
"B-","","ThieAudio Legacy 5 (L5)","Discont.","Warm neutral","A little lacking in the upper-mids but otherwise a competent set.","B","B-"
"B-","★★","Tin HiFi T4","110","Bright neutral","A worthy successor to the legendary GR07.","B","B-"
"B-","★","Veedix Diamond String","260","V-shaped","","B","B-"
"B-","","Fatfreq Reference Pro","370","Neutral","","B","B-"
"B-","","Anthem Five E4","400","Neutral with bass boost","The all-rounder; nothing stands out but nothing sounds terrible either. Safe, but perhaps too safe.","B","B-"
"B-","","ARC Mira","410","Neutral","A well-tuned basic setup with strengths in versatility.","B","B-"
"B-","","Final Audio B3","500","Warm neutral","Probably the best tuned of Final's B-series. Reminiscent of the E-series with BA characteristics.","B","B-"
"B-","","Craft Ears Argentum","850","V-shaped","","B","B-"
"B-","","Vision Ears VE3.2","1200","Warm neutral","Almost VE8-like in tonality, but lacks its technical abilities.","B","B-"
"B-","","HUM Reference","1300","Neutral","Basically sounds like a shallow-fit ER4S.","B","B-"
"B-","","Westone ES60","1300","Neutral with laid-back treble","Great timbre and well-tuned, held back by its resolution","B","B-"
"B-","","Custom Art FIBAE 7","1450","Neutral","Neutral tuning with a more relaxed top end. Probably the best-tuned Custom Art.","B","B-"
"B-","","qdc Dmagic","1900","Neutral","Probably the best triple-DD IEM out there by virtue of not being a hot mess tonally.","B","B-"
"B-","","Aure Flame","2000","Mild V-shape","A little better managed than the Elixir but not a massive improvement. Reminds me of a budget FH5.","B","B-"
"B-","","Acoustune HS1551","500","Warm V-shape","Warm and smooth tonality with a pleasing tuning not many would hate.","C+","B+"
"B-","","Empire Ears EVR","800","Neutral","A nicely tuned flat-ish signature with good technical ability all around.","C+","B+"
"B-","","Sennheiser IE800","800","Warm","Good bass with shimmery treble. Downsloping response with slightly wonky tonality.","C+","B+"
"B-","","Aroma Witch Girl S","900","Warm","Pretty good technicalities but with a rather generic tuning.","C+","B+"
"B-","","FiR VxV","1000","Mild V-shape","Interested coloured take on a neutral reference signature. A little uneven in the mids.","C+","B+"
"B-","","Sennheiser IE800S","1200","Warm","Very subtle refinement to the original IE800.","C+","B+"
"B-","","Campfire Solaris (SE)","1500",""Balanced"","Coherent and well balanced hybrid though with slight midrange hollowness.","C+","B+"
"B-","","FitEar Private 333","1500","Bright","Very exciting and sharp signature. Fatiguing and not for everyone.","C+","B+"
"B-","","Dita Dream XLS","1850","Neutral","Standard Dita house sound with a non-standard bass roll-off. Decent, not amazing.","C+","B+"
"B-","","Unique Melody Maven","2000","V-shaped","Decently resolving, decent tonality; not bad, not amazing.","C+","B+"
"B-","","Aroma Witch Girl W12","3150","Warm V-shape","Warm response balanced out by a sparkly treble emphasis; good technicalities, if a little narrow-sounding.","C+","B+"
"B-","★★★","Tanchjim Cora","50","V-shaped","Well-controlled bass boost, though coupled with a slightly odd midrange tonality.","B+","C+"
"B-","★","JBL LIVE 300TWS","150","V-shaped","Kind of Harman-ish, but not. Heavy on the bass and sharp in the treble.","B+","C+"
"B-","★","Bose SoundSport Free","200","Neutral","Solid tonal balance with wide soundstage, though not the best in detailing.","B+","C+"
"B-","★★","Tin HiFi T3 Plus","70","V-shaped","","B+","C+"
"B-","","Tripowin x HBB Olina SE","Discont.","Mild V-shape","","B+","C+"
"B-","★","Audiosense AQ3","180","Bassy","Well-controlled bass despite the emphasis, limited by overall resolving ability.","B+","C+"
"B-","","Unique Melody Macbeth Ti","700","U-shaped","","B+","C+"
"B-","","64 Audio A4t","1000","Neutral with bass boost","Good tonal balance but lacking in definition and low-level detailing","B+","C+"
"B-","","Acoustune HS1697","1150","V-shaped","A little wonkier than your average Acoustune but still retains the signature V-shape.","C","A-"
"B-","","Campfire Ara","1300","Bright neutral","Very resolving set of IEMs, triggers the ""uncanny valley"" effect with its tuning.","C","A-"
"B-","","Jomo Tango","1400","V-shaped","Deep V-shape signature with a warm tilt; good technicalities.","C","A-"
"B-","","Dita Perpetua","3000",""Balanced"","","C","A-"
"B-","","Aroma Ace","3700","Neutral","Really odd take on neutrality. Not the worst... but it's not natural by any means.","C","A-"
"B-","★","Nothing Ear (2)","150","Neutral with bass boost","","A-","C"
"B-","","DUNU Titan 1","Discont.","Bright","Bright, almost DF-ish in tonality. Shouty but with open imaging and decent detail.","B-","B-"
"B-","★","ikko OH1","140","V-shaped","Well controlled sub-bass focus, high clarity and has an inherent ""Asian"" signature.","B-","B-"
"B-","★","Shanling ME200","180","V-shaped","Slight mid-scoop going on. A little shouty, a little bassy, but not bad overall.","B-","B-"
"B-","","Audio Technica ATH-LS200","Discont.","Neutral","Somewhat Diffuse-Field neutral with its own quirks. Good technical ability.","B-","B-"
"B-","★","Fearless S4","290","V-shaped","Tonally accurate though can be a little heavy with its upper midrange.","B-","B-"
"B-","★","Oriveti OH300","300","V-shaped","More similar than different to the OH500. Non-offensive tuning with decent technicalities.","B-","B-"
"B-","★★","TRI Starsea","130","U-shaped","","B-","B-"
"B-","★","Aune Jasper","300","Mild V-shape","A little shouty but overall a well-balanced tonality that's more pleasing than divisive.","B-","B-"
"B-","★","BGVP DM7","300","Warm neutral","Much more tonally-balanced take on the popular DM6.","B-","B-"
"B-","★","Itsfit R3","305","Neutral","Similar to the lauded UERM, but without its resolution nor sparkle.","B-","B-"
"B-","","Fearless S5H","330","V-shaped","Similar if not identical to the S4, though with a little less upper mids.","B-","B-"
"B-","","Sennheiser IE400 Pro","350","V-shaped","Heavy bass boost balanced out by good treble energy along with decent midrange tonality.","B-","B-"
"B-","","XENNS Mangird Tea 2","350","Neutral with bass boost","","B-","B-"
"B-","","InEar StageDiver SD-2","400","Neutral","As with most GQ setups: well-balanced, excellent tuning and decent technical ability.","B-","B-"
"B-","","FiiO FA9","450","Neutral","More of a downslope-neutral kind of tonality. A bit above average as far as technical performance goes.","B-","B-"
"B-","","Oriveti OH500","500","V-shaped","More similar than different to the OH300. Non-offensive tuning with decent technicalities.","B-","B-"
"B-","","Kinera Skuld","550","Neutral","","B-","B-"
"B-","","ARC Oculus","570","Warm","Relaxing, warm signature with sub-par resolving ability.","B-","B-"
"B-","","Ultimate Ears UE6 Pro","700",""Balanced"","A capable hybrid with little weaknesses.","B-","B-"
"B-","","TRI Starlight","800","U-shaped","Painful sibilance due to uncontrolled upper treble.","B-","B-"
"B-","","Colorfly Quintet","900","Mild V-shape","","B-","B-"
"B-","","Clear Tune Monitors CT-6E","1000","Neutral","Good, well-balanced tonality though falls apart from the treble upwards.","B-","B-"
"B-","","Stealthsonics U9 JDM","1100","Neutral with bass boost","Does away with the timbre issues of the standard U9.","B-","B-"
"B-","","Meze Rai Penta","1100","Warm V-shape","Pleasing tonality with subpar technical ability.","B-","B-"
"B-","","Elysian Cora (2019)","1230","Neutral with bass boost","A decent hybrid weird slightly odd midrange tonality.","B-","B-"
"B-","","FitEar TG334","1400","Dark","Like the MH334 with quite a bit less treble","B-","B-"
"B-","","Rhapsodio Solar","1550","Mild V-shape","An all-rounder to a fault. Truly a master of none.","B-","B-"
"B-","","FitEar MH334","1900","Warm","Perfect for female vocals, but otherwise quite coloured","B-","B-"
"B-","","Aure Elixir","2000","Mild V-shape","Sort of wonky-but-not tonality that reminds me of some of Audiosense's weird IEMs.","B-","B-"
"B-","","Soranik Bastille Signature","?","V-shaped","Upper-mid and sub-bass forward, mids are scooped and can get hollow.","B-","B-"
"C+","","Soranik SP3","250","Bright V-shape","Thin-sounding, a little strong with the BA timbre and can be fatiguing.","C+","B"
"C+","","Periodic Audio Be","300","Mild V-shape","Meaty with decent sparkle in the treble, whilst remaining clear and clean.","C+","B"
"C+","","FiiO FH7","450","V-shaped","What is otherwise a pretty good hybrid marred by a strange tonality.","C+","B"
"C+","","Campfire Polaris V1","600","V-shaped","Pseudo-Japanese tuning focusing on female vocals and a very lively signature.","C+","B"
"C+","","qdc Anole V3","600","Variable","The bassier of the Anole brothers. Better timbre but worse technicalities.","C+","B"
"C+","","Shanling ME800","800","Variable","","C+","B"
"C+","","Empire Ears ESR","1000","Bright V-shape","Has the technical chops but is sharp and fatiguing.","C+","B"
"C+","","Astell & Kern T9iE","1300","U-shaped","Feels like a more neutral take on the T8iE, though I'm not sure if it works. Sounds off overall.","C+","B"
"C+","","Vision Ears VE5","1400","Neutral","Tuning that avoids any fatiguing peaks, at the cost of midrange coherency.","C+","B"
"C+","","Jomo Quatre","1500","V-shaped","Nicely tuned hybrid that serves as a good all-rounder.","C+","B"
"C+","","FitEar Monet 17","1550","Warm V-shape","Somewhat bloated and sharp-sounding at the same time. Very coloured and very spicy, not for everyone.","C+","B"
"C+","","Westone Mach 80","1600","Dark neutral","","C+","B"
"C+","","Aroma Twins","1700","Variable","Swap between ""too warm"" or ""too bright"". Extremely coloured on both ends of the spectrum.","C+","B"
"C+","","FitEar MH335DW","2250","Warm","Warmer than your average 334 with a little more congested. Kind of like a custom-TG334.","C+","B"
"C+","","IMR RAH","Discont.","Variable","Not much point to the filter system when it's just varying degrees of mediocre.","C+","B"
"C+","","Tripowin x HBB Mele","50","V-shaped","","B","C+"
"C+","","Edifier TWS5","80","V-shaped","Good tone and bass response, but unfortunately lacking detail retrieval.","B","C+"
"C+","","Whizzer A15 Pro","120","Bright neutral","Interesting Etymotic-like DF tuning, though far more thin-sounding and rather shouty.","B","C+"
"C+","","ThieAudio Legacy 3 (L3)","130","Neutral","Balanced tonality with a laid-back signature, nothing much to fault nor to praise.","B","C+"
"C+","","Audiosense AQ4","180","Neutral with bass boost","","B","C+"
"C+","","Ambient Dynamics AD-006 “Lyndale”","200","Warm neutral","","B","C+"
"C+","","Tansio Mirai TSMR-3 Pro","200","Variable","Mostly just variations of ""warm"". Pleasant tuning but lacking detail and clarity.","B","C+"
"C+","","QoA Adonis","220","Mild V-shape","Somewhat balanced tonality if not for a bit of bass bleed. Not the most technical.","B","C+"
"C+","","SeeAudio Bravery","280","Neutral with bass boost","","B","C+"
"C+","","ARC Pollux","285","Neutral","Well-tuned neutral single-BA IEM.","B","C+"
"C+","","Massdrop Plus","300","Warm neutral","Reference-targeted sound with excellent clarity and detail, with a slightly more fun tuning.","B","C+"
"C+","","Tansio Mirai TSMR-5","430","Warm V-shape","Alright tonality, decent detailing but nothing that makes it stand out.","B","C+"
"C+","","Aroma Early","600","Neutral with bass boost","Capable V-shaped hybrid. Could use a little more control in the bass.","B","C+"
"C+","","Unique Melody Maverick II","1050","Neutral","","B","C+"
"C+","","Alclair Electro","1500","Neutral with bass boost","A decent performer in its own right, but nothing that its cheaper brothers aren't already doing.","B","C+"
"C+","","HUM Dolores","1700","Neutral","Slightly bright-tilted neutral, lacks upper treble extension.","B","C+"
"C+","","EarFun x Oluv Free Pro","Discont.","Dark neutral","Pretty inoffensive overall, though clarity takes a hit due to the dark tilt in tonality.","B","C+"
"C+","","Dita Truth Answer Edition","450","V-shaped","Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.","C","B+"
"C+","","Acoustune HS1501","500","Warm V-shape","A more textured, bassier and more energetic version of the HS1551.","C","B+"
"C+","","Dita Truth","750","V-shaped","Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.","C","B+"
"C+","","Acoustune HS1790","1000","Bright V-shape","","C","B+"
"C+","","Kumitate KL-REF Type-S","1350","Variable","Well tuned but unfortunately suffers from very odd timbre.","C","B+"
"C+","","FAudio Major","1400","V-shaped","Piercing sharp treble and overwhelming bass makes this hard to listen to.","C","B+"
"C+","","Campfire Solaris (2020)","1500","Bright V-shape","Similar (but not identical) upper midrange problems to the original, with added sibilance.","C","B+"
"C+","","Canal Works CW-U91","1570","Warm U-shape","","C","B+"
"C+","","Lypertek Bevi","50","Neutral","Solid, well-balanced tonality. Narrow imaging and subpar resolution.","B+","C"
"C+","","Tin HiFi T2 Plus","60","Warm neutral","A solidly-tuned, inoffensive signature with middling technicalities.","B+","C"
"C+","","Shure Aonic 3","160","Neutral","Slightly bright-tilted neutral, lacks upper treble extension.","B+","C"
"C+","","NXEars Sonata","200","Neutral","Pretty solid neutral tuning, though not very resolving and with one-dimensional imaging.","B+","C"
"C+","","Mangird MT4","200","Neutral with bass boost","","B+","C"
"C+","","Fearless Shangri-la","230","V-shaped","","B+","C"
"C+","","Fatfreq Musician Pro SE","380","Neutral with bass boost","","B+","C"
"C+","","Alclair Studio3","750","Neutral with bass boost","Competent tuning if limited by detail retrieval and upper treble extension.","B+","C"
"C+","","Hifiman RE400","Discont.","Bright neutral","The legend still holds up well today. Solid tonality with average technicalities.","B+","C"
"C+","","Moondrop Spaceship","20","Bright V-shape","Shouty with a slight warm tilt as a counterbalance. Not the worst DF-ish IEM out there.","C+","B-"
"C+","","NiceHCK NX7 Mk3","120","U-shaped","Piercing treble probably due to the piezo driver. Competent tonality otherwise.","C+","B-"
"C+","","Shuoer Tape","130","V-shaped","Decent technicalities but it basically screams in your face.","C+","B-"
"C+","","NiceHCK NX7 Pro","132","Bright V-shape","Superb midrange tonality marred by a painfully piercing treble response.","C+","B-"
"C+","","FiiO FH3","150","V-shaped","Does come off as sort of a broken FH5, but the FH5 elements are mostly there.","C+","B-"
"C+","","Tanchjim Hana","160","Mild V-shape","Somewhat strange upper-midrange tonality. Not a ""mini-Oxygen"".","C+","B-"
"C+","","ThieAudio Voyager 3 (V3)","160","Warm V-shape","Slightly esoteric signature that somewhat works.","C+","B-"
"C+","","ikko OH10","200","V-shaped","Your standard ""chifi V"" but done fairly well. Decently technical.","C+","B-"
"C+","","ikko OH1S","200","Bright neutral","","C+","B-"
"C+","","iBasso IT01S","200","V-shaped","Balanced tuning, slight lean towards brightness. Should be pleasing for most ears.","C+","B-"
"C+","","qdc Uranus","200","Warm","Sounds like another variation of the qdc Fusion. Not sure which is worse though.","C+","B-"
"C+","","DUNU Falcon Pro","220","Warm","","C+","B-"
"C+","","Yanyin Aladdin","250","Neutral","","C+","B-"
"C+","","Mangird Tea","300",""Balanced"","In a weird place, tonally. Not quite wrong enough to be ""wonky"", but certainly not right either.","C+","B-"
"C+","","Tin HiFi P2","350","Warm U-shape","A good upgrade over the original in terms of technicalities, but the bothersome sibilance still exists.","C+","B-"
"C+","","Soranik ION-4","350","Neutral with bass boost","Fairly detailed with good imaging performance, though tuning needs more refinement.","C+","B-"
"C+","","Audio Genetic AG2","450","Warm","Warm, smooth presentation... perhaps a little too smoothed over for my liking.","C+","B-"
"C+","","FAudio Chorus","500","Warm V-shape","","C+","B-"
"C+","","Lime Ears LE2","600","Neutral","As with most GQ setups: well-balanced, excellent tuning and decent technical ability.","C+","B-"
"C+","","Unique Melody Mini MEST","600","V-shaped","Bone conduction driver doesn't seem to be doing much. Just your average V-shaped BA IEM.","C+","B-"
"C+","","Craft Ears Cuprum","800","U-shaped","","C+","B-"
"C+","","Eternal Melody EM-5","900","Warm","Very warm, bordering on bloated. Could use a little less lower mids or a bit more upper mids.","C+","B-"
"C+","","qdc Fusion","920","Warm","Dulled transients and lacks detailing. Tonality is merely okay.","C+","B-"
"C+","","NCM Bella","1050","U-shaped","Powerful bass combined with clean sounding mids, though perhaps a tad aggressive at times.","C+","B-"
"C+","","Tralucent 1+Xplus","1200","U-shaped","WARNING: comes with solid tips. Decent once you get a proper seal, but nothing exceptional.","C+","B-"
"C+","","Canal Works CW-U77","1300","Neutral","","C+","B-"
"C+","","Vision Ears VE4.2","1440","V-shaped","Decently tuned monitor with adequate resolution, but nothing that hasn't been done before for cheap.","C+","B-"
"C+","","Earsonics Purple","1500","Neutral","Probably the most ""normal-sounding"" Earsonics IEM. Still some tonal problems but not horrible.","C+","B-"
"C+","","Empire Ears Nemesis","1600","V-shaped","A lot more treble compared to the Vantage.","C+","B-"
"C+","","AAW Canary","2170","V-shaped","Poor implementation of the EST driver. Decent in tonality and timbre, but that's about it.","C+","B-"
"C+","","Simphonio VR1","2300","Mild V-shape","","C+","B-"
"C+","","Empire Ears Phantom LE","2500","Warm","A slightly more balanced Phantom, that is to say it's not complete lower-mid bloat.","C+","B-"
"C+","","Rhapsodio Infinity (Mk1)","3600","V-shaped","","C+","B-"
"C+","","Audio Technica ATH-IM02","Discont.","Warm neutral","As with most GQ setups: well-balanced, excellent tuning and decent technical ability.","C+","B-"
"C+","","Tin HiFi T2","50","Neutral","Well-balanced tuning and an all-rounder signature that works for most.","B-","C+"
"C+","","Tin HiFi T3","80","Mild V-shape","Somewhat generic hybrid signature, tuned well with good transient ability.","B-","C+"
"C+","","Final Audio Heaven II","90","Bright neutral","Solid technical ability though might be a little too sterile at times.","B-","C+"
"C+","","Tanchjim Echo","100","Bright U-shape","","B-","C+"
"C+","","Anker Soundcore Liberty Air 2","100","U-shaped","A lot of sub-bass and a lot of treble. Fun, but very fatiguing.","B-","C+"
"C+","","DUNU Kima","100","Mild V-shape","","B-","C+"
"C+","","Tripowin x HBB Olina","100","V-shaped","","B-","C+"
"C+","","Anker Soundcore Liberty 2 Pro","150","V-shaped","Impressive sub-focused bass response, limited by its shouty and sharp midrange and treble.","B-","C+"
"C+","","Jabra Elite Active 65t","190","Neutral","Excellent tonal balance and timbre, though technical ability isn't the best.","B-","C+"
"C+","","Sennheiser Momentum True Wireless 3","250","Warm","A much-needed improvement over its predecessors, but still comes with suppressed upper harmonics.","B-","C+"
"C+","","AAW A3H Plus","250","Warm neutral","A lot more balanced compared to the 2019 version. Good tonality if limited by resolution.","B-","C+"
"C+","","IMR Zenith","550","Variable","Assuming blue filters, probably the best tuned IMR IEM. Every other filter is garbage.","B-","C+"
"C+","","Elysian Artemis","600","Warm","Thick, warm and smooth signature without complete sacrifice in technicalities.","B-","C+"
"C+","","Open Audio Mercury","600","Neutral with bass boost","","B-","C+"
"C+","","AAW x Custom Art Project 4+2","750","Variable","Competent tuning overall, though lacking definition and clarity.","B-","C+"
"C+","","Ultimate Ears UE7 Pro","850","Warm neutral","Good clarity and detail with boosted, warm bass and controlled treble.","B-","C+"
"C+","","Alclair Studio4","950","Mild V-shape","Transients are a little mushy and lacking snap, but at least the tuning's halfway decent.","B-","C+"
"C+","","ikko OH7","950","V-shaped","Well-controlled bass response, though the rest leaves a lot to be desired.","B-","C+"
"C+","","Shure SE846","1000","Neutral with bass boost","Deep reaching bass but with an odd tonality in the rest of the spectrum.","B-","C+"
"C+","","AAW Halcyon","1500","Warm V-shape","Filters change the bass response. Congested presentation and lacks definition.","B-","C+"
"C+","","HYLA Nerva-X","2750","Warm","Pretty dead-sounding, and the lack of treble extension isn't doing it any favours.","B-","C+"
"C+","","VSonic GR07 Bass Edition","Discont.","Neutral","Rather than a bassier GR07, this seems more like a darker GR07.","B-","C+"
"C+","","VSonic GR07 Classic","Discont.","Mild V-shape","Well-balanced, well-tuned, good technicalities. The $100 benchmark since ever.","B-","C+"
"C+","","Tralucent 1 Plus 2.2","Discont.","Bright V-shape","Decently tuned hybrid if a little inconsistent and past its prime.","B-","C+"
"C+","","Vive XE800","Discont.","Mild V-shape","A mini GR07. Need I say more?","B-","C+"
"C+","","FLC8S","Discont.","Variable","Very good technicalities with a well-tuned signature. Filters change the sound a lot.","B-","C+"
"C+","","Sony MDR-EX600","200",""Balanced"","Significantly different from the EX800/EX1000. Notable hole in the upper mids.","C","B"
"C+","","Unique Melody 3D Terminator","400","Bright V-shape","","C","B"
"C+","","Lime Ears Aether R","1350","Variable","A downgrade from the original with weirder midrange tonality.","C","B"
"C+","","Vision Ears VE6","1500","Warm neutral","A little incoherent and could use more midrange evenness.","C","B"
"C+","","Noble Kadence","1600","Bright V-shape","","C","B"
"C+","","Ambient Acoustics MAD24","3500","Warm","","C","B"
"C+","","Final Audio E500","20","Neutral","Very well-balanced though plagued by the usual E-series QC problems.","B","C"
"C+","","Final Audio E1000","30","Neutral","Balanced tuning with good clarity and acceptable resolution. Surprising pick.","B","C"
"C+","","QCY T5","35","Neutral","An odd take on a reference-style signature, but definitely not the worst attempt out there.","B","C"
"C+","","BLON BL03","38","Warm V-shape","Very pleasing and safe tuning with subpar technical detailing.","B","C"
"C+","","EarFun x Oluv Free","50","Bassy","Bassy bordering on bleeding into the mids. Somewhat non-fatiguing but lacking resolution.","B","C"
"C+","","Neusonik direm E3","50","V-shaped","Sounds like an attempt at a MH755.","B","C"
"C+","","Audiosense DT100","110","Neutral","","B","C"
"C+","","Edifier TWS6","120","U-shaped","Well-controlled bass response, though can come off as a bit hollow and pulled-back.","B","C"
"C+","","Fearless Provence","140","Neutral with bass boost","","B","C"
"C+","","JVC HA-FX99X-B","170","Neutral with bass boost","Surprisingly well-controlled bass boost with a slightly warm tilt. Limited resolution.","B","C"
"C+","","Seek Real Audio Airship","180","V-shaped","","B","C"
"C+","","Fatfreq Reference Plus V2","230","Dark neutral","","B","C"
"C+","","Shure Aonic 4","260","Neutral with bass boost","Great tuning, but severely lacking upper octave air and extension.","B","C"
"C+","","Vision Ears VE2","800","Warm","","B","C"
"C+","","Advanced Evo X","Discont.","Neutral","A well-balanced Bluetooth IEM. A very nice surprise.","B","C"
"C+","","Ultimate Ears UE18+ Pro Gen 3","1500",""Balanced"","Perceived more neutrally compared to the Gen 2; less emotional, more boring.","C-","B+"
"C+","","ThieAudio Legacy 2 (L2)","100","Neutral","","B+","C-"
"C+","","Tanchjim Tanya","25","V-shaped","","C+","C+"
"C+","","Zero Audio Carbo Tenore ZH-DX200-CT","40","V-shaped","A well-tuned V-shaped signature that maintains solid midrange and excellent clarity.","C+","C+"
"C+","","Urbanfun YBF-ISS014","60","V-shaped","Clear detailing marred slightly by an almost generic and sharp tuning.","C+","C+"
"C+","","HZSound Heart Mirror","60",""Balanced"","","C+","C+"
"C+","","FiiO F9","100","Bright V-shape","Good technicalities, average timbre, perhaps a little excessive on the highs.","C+","C+"
"C+","","Periodic Audio Mg","100","Warm","Not the most clear or detailed but a very clean sound with good timbre.","C+","C+"
"C+","","Fearless Barcelona","120","Bassy","","C+","C+"
"C+","","FiiO F9 Pro","150","Bright V-shape","Pretty indistinguishable from the original F9.","C+","C+"
"C+","","Shozy & Neo CP","165","Warm","Reference-style tuning, decent tonal balance, solid technical ability.","C+","C+"
"C+","","TFZ King Pro","170","V-shaped","Powerful yet controlled bass response, good snap in the treble, doesn't sacrifice too much in the midrange.","C+","C+"
"C+","","Final Audio Heaven 4","170","Warm neutral","The black sheep of the ""Final single BA"" lineup. More normal sounding and also the warmest sounding.","C+","C+"
"C+","","Tin HiFi P1 Plus","170","Warm neutral","","C+","C+"
"C+","","KBEar TRI I3","200","V-shaped","Surprisingly decent tonality, though somewhat average in the grand scheme of things.","C+","C+"
"C+","","iBasso IT03","260","U-shaped","Excellent bass and clarity. Hollow midrange and somewhat metallic treble.","C+","C+"
"C+","","Fostex TM2","300","V-shaped","A little thin, a little bright and a little shouty, but not bad overall.","C+","C+"
"C+","","DUNU DN-2000","300",""Balanced"","Lacking that necessary bite and forwardness in the upper mids, but otherwise fine.","C+","C+"
"C+","","Final Audio B2","300","Neutral","Fairly normal ""single BA tuning"", but severely lacking in upper treble extension.","C+","C+"
"C+","","Aroma Star","300","V-shaped","Fairly normal ""single BA tuning"", nothing exceptional nor terrible.","C+","C+"
"C+","","Azla Horizon","300","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C+"
"C+","","1Custom SA03","300","Warm V-shape","Warm lower-mid response balanced out by a forward treble presentation.","C+","C+"
"C+","","UFOEar UFO-112","350","V-shaped","Well-controlled bass response with a peaky, slightly shouty midrange and treble profile.","C+","C+"
"C+","","Yanyin Canon","350","Variable","","C+","C+"
"C+","","JVC HA-FW02","370","V-shaped","Very warm yet with some shoutiness. Too many conflicting things going on.","C+","C+"
"C+","","DUNU DN-2002","380","Warm","Slightly bassier and warmer version of the DN-2000.","C+","C+"
"C+","","Craft Ears Craft TWO","400","Warm neutral","General downsloping response; not the worst performer but nothing that stands out either.","C+","C+"
"C+","","Custom Art FIBAE Black","500","Warm neutral","Smooth, neutral-ish signature that serves as an all rounder.","C+","C+"
"C+","","IMR R2 Aten","500","Variable","Decent sounding mids with bass that ranges from bleeding to non-existent.","C+","C+"
"C+","","Tansio Mirai Land","600","Variable","","C+","C+"
"C+","","Empire Ears Bravado","700","V-shaped","A basic hybrid sound with big bass and energetic treble.","C+","C+"
"C+","","JH Audio Rosie","1000","Warm V-shape","One of the better-tuned JH IEMs. Still has some bloat issues and unnaturally sharp.","C+","C+"
"C+","","Ultimate Ears UE11 Pro","1150","Bassy","Quite a bit of low-end emphasis. Overly-congested and smeared transients.","C+","C+"
"C+","","64 Audio Duo","1200","Warm","","C+","C+"
"C+","","AAW Mockingbird","1450","Neutral","A ""nothing special"" kind of sound that is neither wrong nor exciting, even on a technical level.","C+","C+"
"C+","","Aroma Yao","2500","Warm","Competent tonality, good technicalities, nothing terrible but certainly expected more.","C+","C+"
"C+","","VSonic GR07X","Discont.","Neutral","Jack of all trades. Has all the fundamentals down to a T.","C+","C+"
"C+","","Neusonik direm PRO","?","V-shaped","Generic V-shape tuning with middling technicalities.","C+","C+"
"C+","","1Custom SA05","?","Warm V-shape","Warm lower-mid response balanced out by a forward treble presentation.","C+","C+"
"C","","Audeze LCDi4 (No Cipher)","2500",""Balanced"","Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.","D","S+"
"C","","Moondrop SSP","40","V-shaped","Extra bass on top of the SSR does help it a little, but also results in a more hollow presentation.","C","B-"
"C","","BQEYZ Spring 1","140","V-shaped","Piezo treble is notably sharp and unpleasant, while overall detail and clarity is surprisingly high.","C","B-"
"C","","NF Audio NM2+","170","Bright V-shape","Tonality can get a little intense and is fairly underwhelming, though surprisingly resolving.","C","B-"
"C","","FiiO FH5s","280","V-shaped","Varying degrees of ""V-shape"". Sounds like a regression from the original.","C","B-"
"C","","FiiO FA7S","340","Warm","","C","B-"
"C","","Oriolus Forsteni","375","U-shaped","Spacious staging, good clarity, but thin in the mids and overly sharp.","C","B-"
"C","","JVC HA-FW1500","500","V-shaped","","C","B-"
"C","","IMR Aten","550","Variable","Bass noticeably bleeds into the mids, with the classic piezo treble sharpness.","C","B-"
"C","","Fatfreq 20.6","810","Warm","","C","B-"
"C","","Itsfit Fusion","950",""Balanced"","Hard to pinpoint its exact signature, but the result is an odd tonality.","C","B-"
"C","","JH Audio JH13v2 Performance Series","1000","V-shaped","Good all rounder, slightly warmer and more coherent than the custom version","C","B-"
"C","","Aroma Witch Girl Pro","1100","Warm","Downsloping response that sounds muted. Treble extension is its big weakness.","C","B-"
"C","","FitEar Parterre","1200","Warm","Intimate, smooth and laidback sound","C","B-"
"C","","Dita Fealty","1300","Mild V-shape","The more natural sounding and less technical of the Dita twins.","C","B-"
"C","","MMR Homunculus","1700","Warm neutral","Not the worst thing out there, but also nothing special about it.","C","B-"
"C","","Flipears Aurora","2100",""Balanced"","","C","B-"
